7.430546522140503,down,press
10.351202249526978,down,release
11.702813148498535,up,press
14.390831708908081,up,release
16.246590614318848,down,press
18.159116983413696,down,release
20.12664771080017,down,press
21.01487445831299,down,release
21.97463893890381,space,press
23.58243727684021,space,press
24.023203134536743,down,press
25.991065740585327,down,release
26.870814323425293,down,press
27.950340747833252,space,press
28.998244285583496,down,release
29.030888080596924,up,press
30.13439154624939,down,press
30.159064054489136,up,release
30.670018672943115,down,press
31.390726327896118,down,release
31.831081867218018,checkpoint,null
32.35898780822754,checkpoint,null
32.73450541496277,space,press
33.96700096130371,space,press
34.36703538894653,down,press
35.50259351730347,up,press
35.55070519447327,down,release
36.05954170227051,up,press
36.79108428955078,space,press
36.879000186920166,down,press
36.92707371711731,up,release
37.433995962142944,down,press
40.23090600967407,space,press
40.3425498008728,down,release
40.343554735183716,up,press
42.95901560783386,space,press
43.01454710960388,up,release
43.01454710960388,down,press
45.12694716453552,space,press
45.239031076431274,down,release
45.239031076431274,up,press
46.639015674591064,space,press
46.9672167301178,up,release
47.42298603057861,up,press
48.73421239852905,down,press
48.7670419216156,up,release
49.15034794807434,up,press
49.21427369117737,down,release
49.58307147026062,up,release
49.58307147026062,down,press
49.91899132728577,up,press
49.99926209449768,down,release
50.4628472328186,down,press
50.49517369270325,up,release
50.81502366065979,up,press
50.862810134887695,down,release
51.16712474822998,up,release
51.16712474822998,down,press
51.559043645858765,up,press
51.65447211265564,down,release
51.99895977973938,down,press
52.022998571395874,up,release
52.532363414764404,down,press
52.734949350357056,up,press
52.79864764213562,down,release
53.31063222885132,up,press
53.55859375,down,press
53.623061180114746,up,release
54.137181758880615,down,press
54.4702091217041,space,press
55.262433767318726,down,release
55.43901467323303,up,press
56.2389440536499,space,press
57.55821776390076,space,press
58.878724098205566,space,press
59.934998989105225,space,press
61.230485916137695,down,press
61.28620195388794,up,release
61.7888662815094,down,press
62.110546588897705,space,press
63.19097542762756,down,release
63.19097542762756,space,press
63.19097542762756,up,press
64.03110790252686,space,press
64.35098648071289,up,release
64.99896717071533,checkpoint,null
65.14323806762695,up,press
65.79898428916931,down,press
65.85498404502869,up,release
66.36499261856079,down,press
66.54288983345032,up,press
66.62284469604492,down,release
67.12490391731262,up,press
67.28706192970276,down,press
67.33500671386719,up,release
67.72686862945557,down,release
68.07891249656677,checkpoint,null
68.94583344459534,up,press
69.19348382949829,up,release
69.19348382949829,down,press
69.55397033691406,up,press
69.58597016334534,down,release
69.91352796554565,up,release
69.91352796554565,down,press
70.23391437530518,up,press
70.30594086647034,down,release
70.55394101142883,up,release
70.60927319526672,down,press
71.52198195457458,up,press
71.56990170478821,down,release
71.92936062812805,up,release
72.57732200622559,up,press
73.25798344612122,space,press
73.44206738471985,up,release
73.44206738471985,down,press
74.31410145759583,up,press
74.36199975013733,down,release
74.86356568336487,up,press
75.25751805305481,space,press
75.36156797409058,down,press
75.40981316566467,up,release
75.91128754615784,down,press
76.70591449737549,down,release
76.73796200752258,up,press
77.52207946777344,up,release
77.52207946777344,down,press
78.32934498786926,down,release
78.94594168663025,down,press
79.61715197563171,down,release
80.36975646018982,down,press
80.89736604690552,down,release
80.91403913497925,space,press
81.59394335746765,checkpoint,170
81.82754516601562,down,press
82.46540760993958,down,release
83.43281555175781,down,press
83.9772675037384,down,release
84.02549004554749,up,press
84.31322646141052,space,press
85.17677998542786,up,release
85.20163989067078,down,press
85.43280839920044,up,press
85.52153491973877,down,release
86.0297544002533,up,press
86.08940243721008,up,release
86.19336915016174,space,press
86.62526321411133,down,press
87.06513738632202,down,release
87.92151689529419,down,press
88.12911939620972,down,release
88.26569294929504,down,press
88.71383690834045,down,release
89.17741107940674,checkpoint,null
89.3054747581482,down,press
89.75351214408875,down,release
89.75351214408875,up,press
90.07323884963989,up,release
91.0732958316803,checkpoint,null
91.1271562576294,down,press
91.28734064102173,space,press
91.94274950027466,down,release
92.03131484985352,up,press
92.71132946014404,down,press
92.75132441520691,up,release
92.89608597755432,space,press
93.27901077270508,up,press
93.33536982536316,down,release
93.84858345985413,up,press
93.8632299900055,down,press
93.8789415359497,up,release
94.02293229103088,space,press
94.1430094242096,down,release
94.49477672576904,down,press
94.79934167861938,space,press
95.51114273071289,up,press
95.55143284797668,down,release
95.5751690864563,space,press
95.77478504180908,up,release
95.77478504180908,down,press
96.2550597190857,space,press
96.33536958694458,down,release
97.07908844947815,space,press
97.78268265724182,space,press
98.04734086990356,up,press
98.6873733997345,down,press
98.72737836837769,up,release
99.23267149925232,down,press
99.28733992576599,space,press
100.03109002113342,space,press
100.76731991767883,space,press
101.44733953475952,space,press
101.66253423690796,up,press
101.68715596199036,down,release
102.13533973693848,space,press
102.80746626853943,space,press
103.64695906639099,space,press
104.48733949661255,space,press
104.66318464279175,down,press
104.68734073638916,up,release
104.95928192138672,down,release
105.24737024307251,checkpoint,null
105.31936860084534,down,press
105.71119260787964,up,press
105.75944566726685,down,release
106.19861626625061,down,press
106.22274494171143,up,release
106.30334949493408,down,release
106.48736953735352,up,press
106.76740050315857,down,press
106.79938340187073,up,release
107.19133424758911,down,release
107.26330852508545,checkpoint,null
107.4633276462555,up,press
107.90333199501038,up,release
108.26336932182312,checkpoint,null
108.33532810211182,down,press
108.57553601264954,up,press
108.61533951759338,down,release
109.05484366416931,down,press
109.07948040962219,up,release
109.39884805679321,down,release
109.82342195510864,checkpoint,270
111.60559725761414,space,press
112.02206945419312,up,press
112.71771049499512,space,press
112.85423731803894,up,release
113.74180889129639,space,press
113.74180889129639,up,press
114.77427959442139,space,press
